youtube_video_id,language,domain,primary_category,subtopics,content_type,title,channel,duration_seconds,evidence,confidence
-KgE-9E46lk,en,practice,controls_coordination,beginner_foundations|friction_zone,technique,Master the Friction Zone: Smooth Motorcycle Control (Beginner Guide),SoCal Rider B,272,youtube_search_metadata,medium
83YeesoSmz4,en,practice,controls_coordination,beginner_foundations|friction_zone,technique,Top Tips For Beginner Motorcycle Riders,MotoJitsu®,172,youtube_search_metadata,medium
MZt1jRLds_g,en,practice,emergency_braking,maximum_braking,drill,Motorcycle Emergency Braking - Which technique is correct?,MCrider - Motorcycle Training,352,youtube_search_metadata,medium
rZjskcIm61U,en,practice,emergency_braking,maximum_braking,drill,M1X Riding Basics - Assertive Motorcycle Braking,Rider Training Institute,80,youtube_search_metadata,medium
J4PqKpLNOhQ,en,road,road_cornering,trail_braking|entry_speed,technique,How to trail brake? - Why You DON'T need to be trail braking : DON'T SKIP WATCH! (timecoded),Roadcraft Nottingham - Motorcycle Training,540,youtube_search_metadata,medium
gPE67XqGsV4,en,road,road_cornering,trail_braking|entry_speed,technique,Why You Need to Be Trail Braking | Motorcycle Trail Braking Explained,CanyonChasers,535,youtube_search_metadata,medium
mPs3E_d5YBQ,en,road,road_cornering,trail_braking|entry_speed,technique,Jason DiSalvo Ride University - Braking 2 - 8 Rate of Tip In,DiSalvo Ride University,183,youtube_search_metadata,medium
Cnni_3tZwvE,en,offroad_adventure,offroad_turning,offroad_tight_turn|u_turn,drill,Step-by-Step U-turn Training for Off-road Motorcyclists,ADVMotoSkillZ,315,youtube_search_metadata,medium
NdwIill2oYg,en,offroad_adventure,offroad_turning,offroad_line_selection|offroad_cornering,technique,Corner Line Selection w/ Garrahan Off-Road Training,ThumperTalk,182,youtube_search_metadata,medium
KhFEnjo7fz4,en,road,road_cornering,countersteering|vision_line,explainer,How to use Counter Steering to Lean and Turn Your Motorcycle,Moto Control,1179,youtube_search_metadata,medium
5s_JCuByuEI,en,road,road_cornering,countersteering|vision_line,explainer,How Motorcycles Corner | EXPLAINED,Mike on Bikes,724,youtube_search_metadata,medium
MPzV9BMouQI,en,practice,balance_slow_control,walking_pace_balance|friction_zone,drill,"Clutch Tip, which changes EVERYTHING!",Moto Control,217,youtube_search_metadata,medium
W3RjWP34Tqg,en,practice,balance_slow_control,walking_pace_balance|friction_zone,drill,Struggling at Slow Speeds? Do THIS Simple Drill in a Parking Lot,Easy Bike Guide,457,youtube_search_metadata,medium
1zluOSO-0aU,en,practice,balance_slow_control,walking_pace_balance|friction_zone,drill,Motorman's Motorcycle Safety Tip: Using the Friction Zone & Rear Brake at Low Speeds,Ride Like a Pro Jerry Palladino,55,youtube_search_metadata,medium
urV4pCVJeU4,en,practice,u_turns_low_speed,u_turn|full_lock_control,drill,DVSA Module 1 Motorcycle Test -  Exercises 4 & 5 - slow ride & U-turn,LET'S RIDE! Motorcycle Training,506,youtube_search_metadata,medium
zMy5dDd5NPE,en,practice,u_turns_low_speed,u_turn|full_lock_control,drill,EASILY Do A U-Turn On Your Motorcycle | Step By Step Guide,Joe Goe Motorcycle Adventures,211,youtube_search_metadata,medium
yzmoUmX34-I,en,practice,u_turns_low_speed,u_turn|full_lock_control,drill,5 TRICKS To Master The MSF U-turn Box,MotoJitsu®,1348,youtube_search_metadata,medium
w55SIeJpUgA,en,practice,emergency_braking,swerve_escape,drill,DVSA Module 1 Motorcycle Test -  Exercise 8 - hazard avoidance,LET'S RIDE! Motorcycle Training,454,youtube_search_metadata,medium
tnMdFsWyGDg,en,practice,emergency_braking,swerve_escape,drill,Module 1 avoidance tutorial,Greg May,76,youtube_search_metadata,medium
P-lnb0oRNHU,en,practice,emergency_braking,swerve_escape,drill,How To Swerve On Your Motorcycle / Motorcycle Training Concepts,Motorcycle Training Concepts,764,youtube_search_metadata,medium
ORbb_efZh4M,en,road,wet_weather,rain_strategy|wet_cornering,technique,Riding in the Rain,Honda Powersports U.S.,143,youtube_search_metadata,medium
ANNNfcC3WII,en,road,wet_weather,rain_strategy|wet_cornering,technique,How To SAFELY Corner On Wet Roads,MotoJitsu®,817,youtube_search_metadata,medium
pHIMXUVwomQ,en,road,wet_weather,rain_strategy|wet_cornering,technique,Tips for Riding in the Rain | Motorcycle Riding,Howcast,119,youtube_search_metadata,medium
