youtube_video_id,youtube_url,language,channel_name,title_original,decision,evidence_types,classification_confidence,quality_score,reason_he
3nwR3t6-Ftg,https://www.youtube.com/watch?v=3nwR3t6-Ftg,he,ADV Moto Life,הדרכת אדוונצ'ר שלב א' של צביקה כהן השטח לקבוצת אדוונצ'רים מתחילים בשטח,approved,description;chapters;transcript,high,5,תמלול מלא וחמישה פרקי YouTube מאמתים את תחנות ההדרכה ואת ההסברים של מדריך רכיבה מזוהה; קטעי הפתיחה והסיכום יוסרו מן הניווט.
lYBhzHlFmNU,https://www.youtube.com/watch?v=lYBhzHlFmNU,he,ADV Moto Life,הדרכת אדוונצ'ר שלב 2 עם צ'יקו Chicco ADV Team,approved,description;transcript,high,5,"התיאור והתמלול מאמתים רצף ארוך של הסבר ותרגול בהנחיית מדריך מזוהה. אין פרקי YouTube, ולכן לא נוספו נקודות זמן מקומיות."
HWNbjhnBTMM,https://www.youtube.com/watch?v=HWNbjhnBTMM,he,ProRiding Israel,ביצוע PIVOT עם אופנוע אדוונצ'ר בשטח,approved,description;transcript,high,5,תמלול ישיר של מדריך בית ספר לרכיבה מאמת את כל שלבי התמרון ואת אזהרת הקרקע; הסרטון קצר אך ממוקד מאוד.
GqUgDGd04XE,https://www.youtube.com/watch?v=GqUgDGd04XE,he,ADV Moto Life,קורס רכיבת כביש פרוריידינג פרו 1,approved,description;transcript,high,5,"התמלול מתעד שיעור אמיתי, משוב ספציפי והסברי מדריכים; התיאור מזהה את הקורס ואת מטרתו. אין Chapters ולכן לא נוצר ניווט מלאכותי."
6ynYOU6NQW4,https://www.youtube.com/watch?v=6ynYOU6NQW4,he,guy radar,קורס רכיבה קוסטאס למאריס 1993 אופנועי שטח,approved,description;transcript,high,4,"התמלול מאמת הדרכה ממשית על פקדים ותנוחה, אך גיל המקור ואיכות ההפקה מצדיקים ציון שמרני והבהרת מגבלת העדכניות."
i7vcL3L7750,https://www.youtube.com/watch?v=i7vcL3L7750,he,מימוטו - MYMOTO,איך לנקות שרשרת אופנוע - תחזוקה נכונה,approved,description;chapters;transcript,high,5,תמלול מפורט ושמונה פרקי מקור מאמתים את סדר הטיפול ואת אזהרת הבטיחות; הפרק המסכם הגנרי יוסר מן הניווט.
CsCvU1qOAag,https://www.youtube.com/watch?v=CsCvU1qOAag,he,FullgaZ Magazine,מדריך טכני: מתיחת שרשת הינע,approved,description;transcript,high,5,"תמלול רציף מאמת כל שלב מכני ואת הסיבות לו. אין נקודות זמן מקוריות, ולכן נשמר מערך Chapters ריק."
GwXb1oEWeMY,https://www.youtube.com/watch?v=GwXb1oEWeMY,he,מימוטו - MYMOTO,מצב נפשי ופיזי,approved,description;chapters;transcript,high,5,חמישה פרקי מקור ותמלול ארוך מאמתים דוגמאות קונקרטיות לכל מצב. ההמלצות הן התנהגותיות ואינן מוצגות כייעוץ רפואי.
l_vLv-Fds5g,https://www.youtube.com/watch?v=l_vLv-Fds5g,he,הרשות הלאומית לבטיחות בדרכים,רכיבה מודעת 🏍 | פרק 1 - אל תפתיע!,approved,description;transcript,high,5,"המקור רשמי והתמלול מאמת הסבר ממוקד על שדה ראייה, מיקום ומהירות. אין Chapters ואין טענות נקודת זמן שלא הופיעו במקור."
Qx6G0gkQ048,https://www.youtube.com/watch?v=Qx6G0gkQ048,he,Ask Ralbad,ASK Ralbad | איך רוכבים בגשם ועל כביש רטוב?,approved,description;transcript,high,5,תמלול מלא ממקור בטיחות רשמי מאמת את כל ארבעת מרכיבי הרכיבה ואת רשימת הציוד; אין פרקים מומצאים.
