youtube_video_id,start_seconds,end_seconds,title_original,decision,decision_reason_he
UsOGqaTH3d0,0,63,Intro,remove_generic,כותרת ניווט כללית שאינה מתארת תוכן לימודי.
UsOGqaTH3d0,63,150,When to stand,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
UsOGqaTH3d0,150,210,Lowering center of gravity,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
UsOGqaTH3d0,210,233,Positioning,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
UsOGqaTH3d0,233,289,Weight on handlebars,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
UsOGqaTH3d0,289,360,Point of contact,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
UsOGqaTH3d0,360,392,Hip position,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
UsOGqaTH3d0,392,441,Sitting and standing,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
UsOGqaTH3d0,441,478,Risers,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
UsOGqaTH3d0,478,626,Sitting posture,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
UsOGqaTH3d0,626,773,News,remove_generic,כותרת ניווט כללית שאינה מתארת תוכן לימודי.
q58g03DSHIs,20,123,properly fit your bike adventure bikes,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
q58g03DSHIs,123,190,find adjustments for the rear brake,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
q58g03DSHIs,190,219,rotate the handlebars,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
q58g03DSHIs,219,288,getting the levers at the right angle in an ideal situation,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
