url,title,channel,rejection_reason_he,checked_date
https://www.youtube.com/watch?v=6oh95eTdsNs,Say No to Slow : How to Wheelie an Adventure Bike,Chris Birch - Off Road Coach,תרגיל מתקדם ובסיכון גבוה שאינו מתאים למשקל הבסיסי של אצוות מתחילים.,2026-08-02
https://www.youtube.com/watch?v=YMDCtCmWXEA,Say No to Slow - ADV Bike Training / Series Trailer,Chris Birch - Off Road Coach,קדימון לסדרת הדרכה ולא שיעור מלא עצמאי.,2026-08-02
https://www.youtube.com/watch?v=l4U8P0wsygA,My Top Picks - Adventure Riding Accessories - Chris Birch,Chris Birch - Off Road Coach,"תוכן ציוד וקידום מוצרים, ללא ערך טכני מספיק לאצווה זו.",2026-08-02
https://www.youtube.com/watch?v=R2_2Pdd-QCg,קורס רכיבת אופנוע אדוונצ'ר- סקירת שוק,ADV Moto Life,סקירת שוק ולא הדרכת רכיבה ממוקדת.,2026-08-02
https://www.youtube.com/watch?v=02FOnF5Y51I,MSF Course Skills Test (May 2025),AKMoto,תיעוד מבחן ללא הסבר הדרכתי מספק.,2026-08-02
https://www.youtube.com/watch?v=tZyOIhW5LQc,MSF Course Final Skills Test (Pov),Bataha,צילום POV של מבחן; אין ראיית תוכן מסביר מספקת.,2026-08-02
https://www.youtube.com/watch?v=b4P8evrCaqc,Take your motorcycle skills to the limit,Life Behind Bars 406,כותרת כללית ותוכן שאינו ממוקד במיומנות נדרשת.,2026-08-02
https://www.youtube.com/watch?v=FWWqxUlpMTs,"Say ""NO TO SLOW"" with MOR Ireland",The lad with the beard,סיקור אירוע ולא שיעור עצמאי ומובנה.,2026-08-02
https://www.youtube.com/watch?v=VjeXjfq0Wx8,Chris Birch Adventure Offroad Training Slovakia,KTM CEE,סיקור מותג ואירוע ללא מספיק פירוט הדרכתי עצמאי.,2026-08-02
https://www.youtube.com/watch?v=Rso2_swEhQQ,What Challenges Do Cross-country Motorcycle Group Rides Overcome?,Ride or Die Motorcycles,"תוכן כללי ושאלתי, ללא ראיית הדרכה ישירה מספקת.",2026-08-02
https://www.youtube.com/watch?v=9TSrDR0BL2k,$30 Heavy Bike Lifter Tool,FirstLight Adv,מוקד מוצרי ושיווקי יותר מאשר הדרכת חילוץ כללית.,2026-08-02
https://www.youtube.com/watch?v=JaLI0xz1IwY,Eastbound MotoWinch review,Billys Bike Adventures,סקירת מוצר; נבחרו מקורות חילוץ הדרכתיים יותר.,2026-08-02
https://www.youtube.com/watch?v=aQE9gcT-g1k,עליית מדרגה ברכיבה,Cohen Adventure,כותרת ותיאור רחבים מדי לסיווג מדויק באצווה זו.,2026-08-02
https://www.youtube.com/watch?v=It3Xes7g6h0,רכיבה מתקדמת - רכיבה נכונה על אופנוע,Moto Lamed,"נושא רחב מדי, ללא מיקוד מספק לשער התוכן.",2026-08-02
https://www.youtube.com/watch?v=iw9zeS0wLW8,How To Ride a Motorcycle For Beginners (revised 2025 edition),PetroHead,מדריך רחב מאוד; האצווה מעדיפה שיעורים ממוקדים שניתנים לסיווג מדויק.,2026-08-02
