youtube_video_id,youtube_url,decision_reason_he,evidence_checked,last_checked
oZiD8uxH0hQ,https://www.youtube.com/watch?v=oZiD8uxH0hQ,"קטע מערוץ צד שלישי ללא מקוריות ברורה, פרקים או תיעוד מספק; סיכון להעלאה חוזרת וייחוס שגוי.","metadata;description;chapters;subtitles",2026-08-03
U10E123mrYc,https://www.youtube.com/watch?v=U10E123mrYc,"התיאור נשלט בידי חסות, חנות ו-Patreon ואינו מפרט את הטכניקה; אין פרקים או ראיה משלימה.","metadata;description;chapters;subtitles",2026-08-03
sSbI9-z1W6E,https://www.youtube.com/watch?v=sSbI9-z1W6E,"תיאור ריק וללא פרקים או כתוביות ידניות; הכותרת לבדה אינה ראיית תוכן.","metadata;description;chapters;subtitles",2026-08-03
_10e86Chh9w,https://www.youtube.com/watch?v=_10e86Chh9w,"תיאור סדרה כללי שאינו מתעד את תוכן מעבר המים ואין פרקים תומכים.","metadata;description;chapters",2026-08-03
zMuVNBk9Ogw,https://www.youtube.com/watch?v=zMuVNBk9Ogw,"תיאור קצר ושיווקי ללא פירוט של שיטת החילוץ וללא פרקים.","metadata;description;chapters",2026-08-03
M5yAd24z5y0,https://www.youtube.com/watch?v=M5yAd24z5y0,"משפט תיאור יחיד ללא פרקים או ראיה מספקת לסיווג מפורט.","metadata;description;chapters",2026-08-03
USVn82stPho,https://www.youtube.com/watch?v=USVn82stPho,"התיאור כולל הנחיית מצמד והאצה אגרסיבית; נדרשת צפייה והערכת בטיחות לפני קבלה.","metadata;description;chapters",2026-08-03
ul84p9MNqeM,https://www.youtube.com/watch?v=ul84p9MNqeM,"שיעור lofting וקפיצה מתקדם ובסיכון גבוה שאינו מתאים לעדיפות הבסיס של המאגר.","metadata;description;chapters",2026-08-03
o9nOs9NVnKE,https://www.youtube.com/watch?v=o9nOs9NVnKE,"חפיפה גבוהה למועמד חול מאותו ערוץ; החלופה שנבחרה מתועדת ומובנית יותר.","metadata;description;chapters",2026-08-03
jT5O6eitk-w,https://www.youtube.com/watch?v=jT5O6eitk-w,"סשן ארוך ושיווקי ללא פרקים או כתוביות ידניות; קיימות חלופות ממוקדות יותר.","metadata;description;chapters;subtitles",2026-08-03
gFXAEsSEbEA,https://www.youtube.com/watch?v=gFXAEsSEbEA,"שלושה תרגילים רלוונטיים אך ללא פרקים או כתוביות ידניות; הראיה חלשה מחלופות השליטה שנבחרו.","metadata;description;chapters;subtitles",2026-08-03
pyn5MswdPH8,https://www.youtube.com/watch?v=pyn5MswdPH8,"דיון יתרונות וחסרונות באופנועים גדולים ולא שיעור מיומנות ממוקד.","metadata;description;chapters",2026-08-03
4aQuet94jJk,https://www.youtube.com/watch?v=4aQuet94jJk,"שיעור אופנוע שטח בסביבת קורס מסחרית עם התאמה פחות ישירה לאופנועי אדוונצ'ר כבדים.","metadata;description;chapters",2026-08-03
9z8wDFrSXP0,https://www.youtube.com/watch?v=9z8wDFrSXP0,"שיעור Enduro קצר; נבחר סרטון מאותו בית ספר שממוקד במפורש ב-Adventure וב-Dual Sport.","metadata;description;chapters",2026-08-03
NWHX807Xq9Y,https://www.youtube.com/watch?v=NWHX807Xq9Y,"שיעור קצר מאוד למעבר לוג וללא פרקים; קיימות חלופות ADV מפורטות יותר.","metadata;description;chapters",2026-08-03
MtuliXiJNRE,https://www.youtube.com/watch?v=MtuliXiJNRE,"חילוץ המטא-דאטה המלא נכשל ולכן לא ניתן לאמת זמינות ותוכן כנדרש.","metadata fetch failed",2026-08-03
uXkKS8z0nSI,https://www.youtube.com/watch?v=uXkKS8z0nSI,"התיאור ברובו קידום וקישור חיצוני ללא פרקים או פירוט מספק של הטיפ.","metadata;description;chapters",2026-08-03
z2iwPdSvt5g,https://www.youtube.com/watch?v=z2iwPdSvt5g,"תיאור המורכב מקורסים וחסויות ללא פרקים; אין ראיית תוכן מעבר לכותרת.","metadata;description;chapters",2026-08-03
IuFhmxnlBPo,https://www.youtube.com/watch?v=IuFhmxnlBPo,"תיאור גנרי, קישורי אפליקציה והסתייגות בלבד וללא פרקים.","metadata;description;chapters",2026-08-03
sRor57XO5UY,https://www.youtube.com/watch?v=sRor57XO5UY,"קידום סרט או אירוע ללא פירוט הדרכתי וללא פרקים.","metadata;description;chapters",2026-08-03
9SS7BbEB_9s,https://www.youtube.com/watch?v=9SS7BbEB_9s,"פרקים רלוונטיים אך מעטפת ציוד והגרלה שיווקית כבדה; נבחרו חלופות גשם חזקות ופחות מסחריות.","metadata;description;chapters",2026-08-03
jevfjCDOddA,https://www.youtube.com/watch?v=jevfjCDOddA,"רשימת ציוד קמפינג ואריזה שאינה מוכיחה הדרכה בדינמיקת מטען.","metadata;description;chapters",2026-08-03
TZTRVLwO51Q,https://www.youtube.com/watch?v=TZTRVLwO51Q,"השוואת מוצרי מזוודות עם קישורים מסחריים וללא מיקוד מספק בשליטה תחת עומס.","metadata;description;chapters",2026-08-03
3WB8OrkG4XA,https://www.youtube.com/watch?v=3WB8OrkG4XA,"השוואת מוצרי מזוודות מסחרית; אינה שיעור ממוקד באריזה בטוחה או התנהגות אופנוע עמוס.","metadata;description;chapters",2026-08-03
lfdXGYLQc0g,https://www.youtube.com/watch?v=lfdXGYLQc0g,"התיאור אינו מסביר את תוכן העייפות והפרקים עמומים; נדרש תמלול או צפייה לפני קבלה.","metadata;description;chapters",2026-08-03
MBS_7UeiXnQ,https://www.youtube.com/watch?v=MBS_7UeiXnQ,"חפיפה גבוהה למדריך רכיבה קבוצתית ארוך ומובנה מאותו ערוץ שנבחר.","metadata;description;chapters",2026-08-03
Kt3mVmoityo,https://www.youtube.com/watch?v=Kt3mVmoityo,"חפיפה גבוהה למדריך רכיבה קבוצתית ארוך ומובנה מאותו ערוץ שנבחר.","metadata;description;chapters",2026-08-03
q2Ts5PhH-jo,https://www.youtube.com/watch?v=q2Ts5PhH-jo,"פעיל ורלוונטי אך ללא פרקים, תיאור דל וריכוז מקור שכבר קיים; נשמר כמועמד גיבוי בלבד.","metadata;description;chapters",2026-08-03
ODaAhHgtM7w,https://www.youtube.com/watch?v=ODaAhHgtM7w,"כבר קיים במאגר Wave 1 ולכן הוחרג ככפילות.","existing ID comparison",2026-08-03
doVLIwQbnWs,https://www.youtube.com/watch?v=doVLIwQbnWs,"כבר קיים במאגר Wave 1 ולכן הוחרג ככפילות.","existing ID comparison",2026-08-03
Dtuy4qxkZ6M,https://www.youtube.com/watch?v=Dtuy4qxkZ6M,"כבר קיים במאגר Wave 1 ולכן הוחרג ככפילות.","existing ID comparison",2026-08-03
5SlHGlyzF7w,https://www.youtube.com/watch?v=5SlHGlyzF7w,"דף הצפייה והמטא־דאטה נשארו ציבוריים, אך בדיקת YouTube oEmbed החזירה HTTP 401; הרשומה הוסרה כדי לא להבטיח נגן שאולי אינו ניתן להטמעה.","full metadata;description;chapters;subtitles;watch page HTTP 200;oEmbed HTTP 401",2026-08-03
BVk9agQzUzw,https://www.youtube.com/watch?v=BVk9agQzUzw,"תיאור קצר ללא פרקים; נבחרו שני שיעורי לחץ אוויר עם ראיות מובנות ומפורטות יותר.","full metadata;description;chapters",2026-08-03
hFqIfPuoYiU,https://www.youtube.com/watch?v=hFqIfPuoYiU,"חפיפה גבוהה לתחום הצמיגים ותיאור פחות מובנה משני הסרטונים שנבחרו.","full metadata;description;chapters",2026-08-03
3M6sCvORCWw,https://www.youtube.com/watch?v=3M6sCvORCWw,"איזון והטיה נגדית כבר מכוסים היטב במאגר; נבחר סרטון שמוסיף שלוש מיומנויות תרגול שונות.","full metadata;description;chapters;subtitles",2026-08-03
9ZSbrycQYD8,https://www.youtube.com/watch?v=9ZSbrycQYD8,"חפיפה גבוהה לסרטון שלוש המיומנויות מאותו יוצר; החלופה שנבחרה כוללת פרקים מובנים.","full metadata;description;chapters",2026-08-03
